Date,Count
2013/06/11,6.163
2013/06/12,6.163
2013/06/13,5.042
2013/06/14,5.042
2013/06/15,5.042
2013/06/16,5.042
2013/06/17,5.042
2013/06/18,6.163
2013/06/19,4.482
2013/06/20,4.482
2013/06/21,5.042
2013/06/22,4.482
2013/06/23,5.602
2013/06/24,5.602
2013/06/25,6.163
2013/06/26,5.042
2013/06/27,5.602
2013/06/28,5.042
2013/06/29,4.482
2013/06/30,6.163
2013/07/01,6.772
2013/07/02,10.468
2013/07/03,7.362
2013/07/04,6.027
2013/07/05,6.772
2013/07/06,6.182
2013/07/07,5.467
2013/07/08,5.157
2013/07/09,5.592
2013/07/10,5.592
2013/07/11,5.312
2013/07/12,5.437
2013/07/13,4.691
2013/07/14,4.131
